funny,10593.362100130573
comedy,9250.476637285816
[none],5752.742429806878
music,3970.9834357572263
how to,3942.3126601759327
2017,3902.5127862754002
makeup,3788.3583122845835
trailer,3719.160735969896
news,3576.137390317397
vlog,3511.7148895067344
humor,3501.295239630852
celebrity,3450.103123415548
food,3428.174267707223
tutorial,3296.7588787298628
pop,3170.4424844690116
beauty,3104.4453905038545
science,3099.5156281275827
interview,2997.288494303705
review,2958.3742052850444
video,2893.216384476349
halloween,2617.352656172136
diy,2551.721001543084
hollywood,2499.6528412018447
television,2360.0517624209174
fashion,2189.711455205299
sketch,2188.511662140694
live,2098.279302340947
comedian,2089.957141110935
official,2079.180358663582
celebrities,2056.9119361458675
talk show,1996.6436685679041
recipe,1996.3605832719286
late night,1985.3395833946875
music video,1959.6860222647995
funny video,1925.8419733250114
